;all_edges_num;all_nodes_num;lost_edges;lost_edges_freq;lost_nodes;lost_nodes_freq;matched_edge_types;matched_edge_types_freq;matched_edges;matched_nodes;recognized_edges_freq;recognized_nodes_freq;wrong_edge_types;wrong_edge_types_freq
50;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
51;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
52;8.0;9.0;1.0;0.125;0.0;0.0;7.0;1.0;7.0;9.0;0.875;1.0;0.0;0.0
53;11.0;12.0;1.0;0.09090909090909091;0.0;0.0;7.0;0.7;10.0;12.0;0.9090909090909091;1.0;3.0;0.3
54;11.0;12.0;3.0;0.2727272727272727;0.0;0.0;7.0;0.875;8.0;12.0;0.7272727272727273;1.0;1.0;0.125
55;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
56;5.0;6.0;0.0;0.0;0.0;0.0;5.0;1.0;5.0;6.0;1.0;1.0;0.0;0.0
57;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
58;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
59;2.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;3.0;1.0;1.0;0.0;0.0
60;6.0;7.0;0.0;0.0;0.0;0.0;5.0;0.8333333333333334;6.0;7.0;1.0;1.0;1.0;0.16666666666666666
61;7.0;7.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;7.0;1.0;1.0;0.0;0.0
62;8.0;9.0;1.0;0.125;0.0;0.0;7.0;1.0;7.0;9.0;0.875;1.0;0.0;0.0
63;2.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;3.0;1.0;1.0;0.0;0.0
64;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
65;3.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;4.0;1.0;1.0;0.0;0.0
66;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
67;11.0;12.0;2.0;0.18181818181818182;0.0;0.0;8.0;0.8888888888888888;9.0;12.0;0.8181818181818182;1.0;1.0;0.1111111111111111
68;12.0;12.0;3.0;0.25;0.0;0.0;7.0;0.7777777777777778;9.0;12.0;0.75;1.0;2.0;0.2222222222222222
69;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
70;11.0;12.0;1.0;0.09090909090909091;0.0;0.0;9.0;0.9;10.0;12.0;0.9090909090909091;1.0;1.0;0.1
71;13.0;13.0;1.0;0.07692307692307693;0.0;0.0;12.0;1.0;12.0;13.0;0.9230769230769231;1.0;0.0;0.0
72;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
73;3.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;4.0;1.0;1.0;0.0;0.0
74;4.0;5.0;0.0;0.0;0.0;0.0;4.0;1.0;4.0;5.0;1.0;1.0;0.0;0.0
75;11.0;12.0;2.0;0.18181818181818182;0.0;0.0;7.0;0.7777777777777778;9.0;12.0;0.8181818181818182;1.0;2.0;0.2222222222222222
76;2.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;3.0;1.0;1.0;0.0;0.0
77;3.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;4.0;1.0;1.0;0.0;0.0
78;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
79;12.0;13.0;4.0;0.3333333333333333;0.0;0.0;5.0;0.625;8.0;13.0;0.6666666666666666;1.0;3.0;0.375
80;6.0;7.0;0.0;0.0;0.0;0.0;5.0;0.8333333333333334;6.0;7.0;1.0;1.0;1.0;0.16666666666666666
81;8.0;10.0;1.0;0.125;0.0;0.1;5.0;0.7142857142857143;7.0;9.0;0.875;0.9;2.0;0.2857142857142857
82;3.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;4.0;1.0;1.0;0.0;0.0
83;4.0;5.0;0.0;0.0;0.0;0.0;4.0;1.0;4.0;5.0;1.0;1.0;0.0;0.0
84;5.0;6.0;0.0;0.0;0.0;0.0;5.0;1.0;5.0;6.0;1.0;1.0;0.0;0.0
85;3.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;4.0;1.0;1.0;0.0;0.0
86;8.0;9.0;1.0;0.125;0.0;0.0;7.0;1.0;7.0;9.0;0.875;1.0;0.0;0.0
87;12.0;12.0;3.0;0.25;0.0;0.0;8.0;0.8888888888888888;9.0;12.0;0.75;1.0;1.0;0.1111111111111111
88;4.0;5.0;0.0;0.0;0.0;0.0;4.0;1.0;4.0;5.0;1.0;1.0;0.0;0.0
89;11.0;12.0;1.0;0.09090909090909091;0.0;0.0;8.0;0.8;10.0;12.0;0.9090909090909091;1.0;2.0;0.2
90;2.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;3.0;1.0;1.0;0.0;0.0
91;9.0;10.0;0.0;0.0;0.0;0.0;7.0;0.7777777777777778;9.0;10.0;1.0;1.0;2.0;0.2222222222222222
92;11.0;12.0;2.0;0.18181818181818182;0.0;0.0;9.0;1.0;9.0;12.0;0.8181818181818182;1.0;0.0;0.0
93;9.0;10.0;2.0;0.2222222222222222;0.0;0.0;5.0;0.7142857142857143;7.0;10.0;0.7777777777777778;1.0;2.0;0.2857142857142857
94;5.0;6.0;0.0;0.0;0.0;0.0;5.0;1.0;5.0;6.0;1.0;1.0;0.0;0.0
95;10.0;11.0;2.0;0.2;0.0;0.0;8.0;1.0;8.0;11.0;0.8;1.0;0.0;0.0
96;5.0;6.0;0.0;0.0;0.0;0.0;5.0;1.0;5.0;6.0;1.0;1.0;0.0;0.0
97;4.0;5.0;0.0;0.0;0.0;0.0;4.0;1.0;4.0;5.0;1.0;1.0;0.0;0.0
98;3.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;4.0;1.0;1.0;0.0;0.0
99;6.0;6.0;1.0;0.16666666666666666;0.0;0.0;5.0;1.0;5.0;6.0;0.8333333333333334;1.0;0.0;0.0
100;3.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;4.0;1.0;1.0;0.0;0.0
101;9.0;10.0;0.0;0.0;0.0;0.0;8.0;0.8888888888888888;9.0;10.0;1.0;1.0;1.0;0.1111111111111111
102;6.0;7.0;1.0;0.16666666666666666;0.0;0.0;5.0;1.0;5.0;7.0;0.8333333333333334;1.0;0.0;0.0
103;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
104;2.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;3.0;1.0;1.0;0.0;0.0
105;9.0;10.0;0.0;0.0;0.0;0.0;8.0;0.8888888888888888;9.0;10.0;1.0;1.0;1.0;0.1111111111111111
106;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
107;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
